-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1990 through 03/31/2020 
Location: Latitude  34.6078   Longitude 43.6908 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 140.22 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
WS10M_MIN MERRA2 1/2x1/2 Minimum Wind Speed at 10 Meters (m/s) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 Clear Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
WS10M_MAX MERRA2 1/2x1/2 Maximum Wind Speed at 10 Meters (m/s) 
KT SRB/FLASHFlux 1/2x1/2 Insolation Clearness Index (dimensionless) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
WS10M MERRA2 1/2x1/2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M,T2M_MAX,T2M_MIN,T2M,WS10M,ALLSKY_SFC_LW_DWN,TS,WS10M_MIN,WS10M_MAX,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
34.60781,43.69081,1990,03,06,   48.91,   23.59,   10.27,   15.28,    3.30,              8.62,   15.25,    1.78,    4.30,              0.35,              5.90,              2.73
34.60781,43.69081,1990,03,07,   50.44,   21.79,    9.71,   14.34,    3.62,              7.93,   14.51,    2.13,    5.55,              0.54,              5.99,              4.20
34.60781,43.69081,1990,03,08,   47.61,   20.47,    4.72,   12.17,    3.28,              7.03,   12.31,    2.10,    5.33,              0.56,              5.09,              4.45
34.60781,43.69081,1990,03,09,   38.57,   22.17,    5.70,   13.18,    2.61,              6.60,   13.30,    0.71,    3.88,              0.56,              4.53,              4.49
34.60781,43.69081,1990,03,10,   42.12,   21.77,    5.29,   13.50,    2.44,              7.16,   14.25,    0.70,    3.78,              0.56,              5.53,              4.48
34.60781,43.69081,1990,03,11,   79.01,   16.55,   10.31,   12.81,    1.90,              8.39,   13.38,    0.58,    3.54,              0.30,              5.67,              2.39
34.60781,43.69081,1990,03,12,   67.22,   22.20,    9.93,   15.15,    2.21,              8.30,   16.22,    0.28,    3.63,              0.55,              5.91,              4.45
34.60781,43.69081,1990,03,13,   69.61,   22.80,    9.88,   15.90,    3.80,              8.27,   15.94,    2.50,    5.51,              0.44,              5.37,              3.61
34.60781,43.69081,1990,03,14,   61.78,   20.33,    9.02,   14.67,    2.50,              7.78,   15.09,    0.27,    4.91,              0.56,              5.29,              4.68
34.60781,43.69081,1990,03,15,   50.29,   22.39,    7.80,   14.15,    2.63,              6.73,   14.63,    1.04,    4.01,              0.73,              6.18,              6.11
34.60781,43.69081,1990,03,16,   39.52,   18.92,    4.74,   10.72,    4.44,              7.19,   11.37,    3.19,    6.71,              0.69,              6.47,              5.79
34.60781,43.69081,1990,03,17,   36.31,   17.83,    2.41,    9.09,    5.90,              6.41,   10.07,    3.65,    8.00,              0.67,              5.99,              5.70
34.60781,43.69081,1990,03,18,   40.15,   18.20,    1.39,    9.43,    3.83,              6.60,   10.44,    2.63,    5.24,              0.63,              5.56,              5.38
